timestamp,occupation,status,domain,count
2020-04-14,Sales and marketing support,new,ph,142
2020-04-14,Sales and marketing support,new,ru,65
2020-04-14,Software development and technology,new,es,134
2020-04-14,Software development and technology,new,ph,4
2020-04-14,Software development and technology,new,ru,271
2020-04-14,Writing and translation,new,es,26
2020-04-14,Writing and translation,new,ph,31
2020-04-14,Writing and translation,new,ru,45
2020-04-15,Clerical and data entry,new,es,8
2020-04-15,Clerical and data entry,new,ph,121
2020-04-15,Clerical and data entry,new,ru,15
2020-04-15,Creative and multimedia,new,es,49
2020-04-15,Creative and multimedia,new,ph,44
2020-04-15,Creative and multimedia,new,ru,181
2020-04-15,Professional services,new,ru,26
2020-04-15,Sales and marketing support,new,es,4
2020-04-15,Sales and marketing support,new,ph,211
2020-04-15,Sales and marketing support,new,ru,83
2020-04-15,Software development and technology,new,es,166
2020-04-15,Software development and technology,new,ph,13
2020-04-15,Software development and technology,new,ru,287
2020-04-15,Writing and translation,new,es,18
2020-04-15,Writing and translation,new,ph,42
2020-04-15,Writing and translation,new,ru,61
2020-04-16,Clerical and data entry,new,es,10
2020-04-16,Clerical and data entry,new,ph,116
2020-04-16,Clerical and data entry,new,ru,9
2020-04-16,Creative and multimedia,new,es,59
2020-04-16,Creative and multimedia,new,ph,29
2020-04-16,Creative and multimedia,new,ru,194
2020-04-16,Professional services,new,ph,1
2020-04-16,Professional services,new,ru,22
2020-04-16,Sales and marketing support,new,es,14
2020-04-16,Sales and marketing support,new,ph,153
2020-04-16,Sales and marketing support,new,ru,78
2020-04-16,Software development and technology,new,es,170
2020-04-16,Software development and technology,new,ph,10
2020-04-16,Software development and technology,new,ru,271
2020-04-16,Writing and translation,new,es,28
2020-04-16,Writing and translation,new,ph,29
2020-04-16,Writing and translation,new,ru,50
2020-04-17,Clerical and data entry,new,es,8
2020-04-17,Clerical and data entry,new,ph,81
2020-04-17,Clerical and data entry,new,ru,9
2020-04-17,Creative and multimedia,new,es,47
2020-04-17,Creative and multimedia,new,ph,26
2020-04-17,Creative and multimedia,new,ru,187
2020-04-17,Professional services,new,ru,23
2020-04-17,Sales and marketing support,new,es,6
2020-04-17,Sales and marketing support,new,ph,160
2020-04-17,Sales and marketing support,new,ru,77
2020-04-17,Software development and technology,new,es,165
2020-04-17,Software development and technology,new,ph,8
2020-04-17,Software development and technology,new,ru,293
2020-04-17,Writing and translation,new,es,15
2020-04-17,Writing and translation,new,ph,30
2020-04-17,Writing and translation,new,ru,54
2020-04-18,Clerical and data entry,new,es,19
2020-04-18,Clerical and data entry,new,ph,94
2020-04-18,Clerical and data entry,new,ru,14
2020-04-18,Creative and multimedia,new,es,80
2020-04-18,Creative and multimedia,new,ph,39
2020-04-18,Creative and multimedia,new,ru,167
2020-04-18,Professional services,new,es,1
2020-04-18,Professional services,new,ru,16
2020-04-18,Sales and marketing support,new,es,15
2020-04-18,Sales and marketing support,new,ph,122
2020-04-18,Sales and marketing support,new,ru,90
2020-04-18,Software development and technology,new,es,207
2020-04-18,Software development and technology,new,ph,8
2020-04-18,Software development and technology,new,ru,256
2020-04-18,Writing and translation,new,es,30
2020-04-18,Writing and translation,new,ph,29
2020-04-18,Writing and translation,new,ru,54
2020-04-19,Clerical and data entry,new,es,4
2020-04-19,Clerical and data entry,new,ph,69
2020-04-19,Clerical and data entry,new,ru,16
2020-04-19,Creative and multimedia,new,es,56
2020-04-19,Creative and multimedia,new,ph,18
2020-04-19,Creative and multimedia,new,ru,118
2020-04-19,Professional services,new,ru,11
2020-04-19,Sales and marketing support,new,es,2
2020-04-19,Sales and marketing support,new,ph,67
2020-04-19,Sales and marketing support,new,ru,56
2020-04-19,Software development and technology,new,es,138
2020-04-19,Software development and technology,new,ph,2
2020-04-19,Software development and technology,new,ru,216
2020-04-19,Writing and translation,new,es,13
2020-04-19,Writing and translation,new,ph,23
2020-04-19,Writing and translation,new,ru,41
2020-04-20,Clerical and data entry,new,es,5
2020-04-20,Clerical and data entry,new,ph,104
2020-04-20,Clerical and data entry,new,ru,6
2020-04-20,Creative and multimedia,new,es,48
2020-04-20,Creative and multimedia,new,ph,30
2020-04-20,Creative and multimedia,new,ru,127
2020-04-20,Professional services,new,es,1
2020-04-20,Professional services,new,ph,2
2020-04-20,Professional services,new,ru,9
2020-04-20,Sales and marketing support,new,es,5
2020-04-20,Sales and marketing support,new,ph,140
2020-04-20,Sales and marketing support,new,ru,41
2020-04-20,Software development and technology,new,es,143
2020-04-20,Software development and technology,new,ph,2
2020-04-20,Software development and technology,new,ru,181
2020-04-20,Writing and translation,new,es,20
2020-04-20,Writing and translation,new,ph,24
2020-04-20,Writing and translation,new,ru,18
2020-04-21,Clerical and data entry,new,es,9
2020-04-21,Clerical and data entry,new,ph,87
2020-04-21,Clerical and data entry,new,ru,14
2020-04-21,Creative and multimedia,new,es,67
2020-04-21,Creative and multimedia,new,ph,31
2020-04-21,Creative and multimedia,new,ru,211
2020-04-21,Professional services,new,ru,15
2020-04-21,Sales and marketing support,new,es,7
2020-04-21,Sales and marketing support,new,ph,168
2020-04-21,Sales and marketing support,new,ru,71
2020-04-21,Software development and technology,new,es,176
2020-04-21,Software development and technology,new,ph,7
2020-04-21,Software development and technology,new,ru,372
2020-04-21,Writing and translation,new,es,16
2020-04-21,Writing and translation,new,ph,30
2020-04-21,Writing and translation,new,ru,51
2020-04-22,Clerical and data entry,new,es,13
2020-04-22,Clerical and data entry,new,ph,125
2020-04-22,Clerical and data entry,new,ru,18
2020-04-22,Creative and multimedia,new,es,45
2020-04-22,Creative and multimedia,new,ph,45
2020-04-22,Creative and multimedia,new,ru,248
2020-04-22,Professional services,new,ru,21
2020-04-22,Sales and marketing support,new,es,9
2020-04-22,Sales and marketing support,new,ph,235
2020-04-22,Sales and marketing support,new,ru,70
2020-04-22,Software development and technology,new,es,163
2020-04-22,Software development and technology,new,ph,9
2020-04-22,Software development and technology,new,ru,413
2020-04-22,Writing and translation,new,es,20
2020-04-22,Writing and translation,new,ph,48
2020-04-22,Writing and translation,new,ru,78
2020-04-23,Clerical and data entry,new,es,12
2020-04-23,Clerical and data entry,new,ph,88
2020-04-23,Clerical and data entry,new,ru,20
2020-04-23,Creative and multimedia,new,es,49
2020-04-23,Creative and multimedia,new,ph,33
2020-04-23,Creative and multimedia,new,ru,244
2020-04-23,Professional services,new,es,1
2020-04-23,Professional services,new,ru,25
2020-04-23,Sales and marketing support,new,es,14
2020-04-23,Sales and marketing support,new,ph,160
